"Term ID","Term Name","Term Slug",Description,"Parent ID","Parent Name","Parent Slug",Count,"Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured","Featured Blog","Popular Therapies","Popular Therapists","Popular Events","Popular Blogs","Popular Ailments","Ailment Image","Featured Ailment","Transaction id",Product,"Product Type",Date,"Payment Mode","Payment Gateway","Start Date","End Date","Total Amount",Banner,Healer,Facilitator,Venue,Price,"Terms and Conditions","Start Date","End  date","Start time","End time","Trending Events","About Facilitator","About Organisation","Thriive event",City,Therapy,"Book Now Link","About The Organisation","Contact Information","Video Gallery",Faqs,"Terms & Conditions","Therapist Title","Featured Post","Select Package","Communication mode",About,"Website URL","Facebook URL","Twitter URL","Instagram URL","Linkedin URL","Skype call",YouTube,"First Reference name","First Reference email","First Reference review","Second Reference name","Second Reference email","Second Reference review","Third Reference name","Third Reference email","Third Reference review","Select identity proof","Identity number","Select Identity image","Profile Picture","Address Proof",Language,"Package duration","Package charges","Number of Images","Number of videos","Number of Therapies","Number of events","Number of banner","Short description","Request for blog","Request for news letter",IsDefault,Therapy,Ailment,Ailment,"Therapy Image","Featured Therapy",Faq's,Therapy
5,Migrane,migrane,"Invoke Angel Damabiahto understand the true meaning of a night she used to receive.",0,,,2,https://thriive.noesis.tech/wp-content/uploads/2018/12/Balloon-2.png|https://thriive.noesis.tech/wp-content/uploads/2018/12/Our_story_Top_Part-2.png,Balloon-2|Our_story_Top_Part-2,|,|,|,,,,,,,,https://thriive.noesis.tech/wp-content/uploads/2018/11/SelfHealing.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Nightmares,nightmares,"Invoke Angel Damabiahto understand the true meaning of a night she used to receive.",0,,,1,,,,,,,,,,,,,https://thriive.noesis.tech/wp-content/uploads/2018/06/img-1.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,Cough,cough,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Migrane,migrane,"Invoke Angel Damabiahto understand the true meaning of a night she used to receive.",0,,,2,https://thriive.noesis.tech/wp-content/uploads/2018/12/Balloon-2.png|https://thriive.noesis.tech/wp-content/uploads/2018/12/Our_story_Top_Part-2.png,Balloon-2|Our_story_Top_Part-2,|,|,|,,,,,,,,https://thriive.noesis.tech/wp-content/uploads/2018/11/SelfHealing.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Nightmares,nightmares,"Invoke Angel Damabiahto understand the true meaning of a night she used to receive.",0,,,1,,,,,,,,,,,,,https://thriive.noesis.tech/wp-content/uploads/2018/06/img-1.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,Cough,cough,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
